Date,Heure,Energie,Index,
09/02/2024,20:00,Eau,2091.42,
09/02/2024,20:00,Haut,109936,
09/02/2024,20:00,Bas,185108,
09/02/2024,20:00,Solar,7700,
09/02/2024,20:00,Boiler,1645.7,
08/03/2024,21:00,Pisc,9003.9,
08/03/2024,21:00,Eau,2098,
08/03/2024,21:00,Haut,110053,
08/03/2024,21:00,Bas,185153,
08/03/2024,21:00,Solar,8400,
08/03/2024,21:00,Boiler,1763.3,
08/04/2024,21:00,Pisc,9015.3,
08/04/2024,21:00,Eau,2104.99,
08/04/2024,21:00,Haut,110109,
08/04/2024,21:00,Bas,185030,
08/04/2024,21:00,Solar,8730,
08/04/2024,21:00,Boiler,1883.5,
09/05/2024,21:00,Pisc,9631,
09/05/2024,21:00,Haut,110327,
09/05/2024,21:00,Bas,185120,
09/05/2024,21:00,Eau,2114,
09/05/2024,21:00,Boiler,2007.6,
09/05/2024,21:00,Solar,9600,
12/06/2024,19:00,Solar,10700,
12/06/2024,19:00,Boiler,2116.6,
12/06/2024,19:00,Pisc,10443,
12/06/2024,19:00,Haut,110394,
12/06/2024,19:00,Bas,185262,
11/08/2024,19:00,Eau,2134,
11/08/2024,19:00,Solar,12870,
11/08/2024,19:00,Boiler,2295,
11/08/2024,19:00,Pisc,11455,
11/08/2024,19:00,Haut,110382,
11/08/2024,19:00,Bas,184993,
12/09/2024,19:00,Eau,2150,
12/09/2024,19:00,Solar,13900,
12/09/2024,19:00,Boiler,2387,
12/09/2024,19:00,Pisc,11966.4,
12/09/2024,19:00,Haut,110382,
12/09/2024,19:00,Bas,184870,
12/10/2024,19:00,Eau,2157,
12/10/2024,11:00,Solar,14500,
12/10/2024,11:00,Boiler,2492.6,
12/10/2024,11:00,Pisc,12337.3,
12/10/2024,11:00,Haut,110455,
12/10/2024,11:00,Bas,185032,
11/11/2024,12:00,Eau,2165,
11/11/2024,12:00,Solar,14700,
11/11/2024,12:00,Boiler,2605,
11/11/2024,12:00,Pisc,12342,
11/11/2024,12:00,Haut,110599,
11/11/2024,12:00,Bas,185100,
12/12/2024,21:00,Eau,2173,
12/12/2024,21:00,Solar,14700,
12/12/2024,21:00,Boiler,2746,
12/12/2024,21:00,Pisc,12342.8,
12/12/2024,21:00,Haut,110790,
12/12/2024,21:00,Bas,185370,
15/01/2025,22:26,Eau,2182.3,
15/01/2025,22:26,Solar,15100,
15/01/2025,22:26,Boiler,2902.04,
15/01/2025,22:26,Pisc,12342.8,
15/01/2025,22:26,Haut,111056,
15/01/2025,22:26,Bas,185668,
12/02/2025,20:30,Eau,2189.3,
12/02/2025,20:30,Solar,15260,
12/02/2025,20:30,Boiler,3042.8,
12/02/2025,20:30,Pisc,12342.8,
12/02/2025,20:30,Haut,111232,
12/02/2025,20:30,Bas,185865,
13/03/2025,20:30,Eau,2197,
13/03/2025,20:30,Solar,15590,
13/03/2025,20:30,Boiler,3074,
13/03/2025,20:30,Pisc,12343,
13/03/2025,20:30,Haut,111304,
13/03/2025,20:30,Bas,185802,
08/04/2025,23:30,Eau,2205,
08/04/2025,23:30,Boiler,3285,
08/04/2025,23:30,Pisc,12344,
08/04/2025,23:30,Haut,111234,
08/04/2025,23:30,Bas,185497,
11/05/2025,23:30,Eau,2214,
11/05/2025,23:30,Boiler,3402,
11/05/2025,23:30,Pisc,12932,
11/05/2025,23:30,Haut,111301,
11/05/2025,23:30,Bas,185428,
11/05/2025,23:30,Solar,16730,
13/06/2025,10:00,Solar,19050,
12/07/2025,14:00,Eau,2230,
12/07/2025,14:00,Boiler,3600,
12/07/2025,14:00,Pisc,14072,
12/07/2025,14:00,Haut,111355,
12/07/2025,14:00,Bas,184953,
12/07/2025,14:00,Solar,19380,
24/07/2025,14:00,Haut,111345.4,
24/07/2025,14:00,Bas,184853.3,
24/07/2025,14:00,CJour,0.366,
24/07/2025,14:00,CNuit,0,
24/07/2025,14:00,PJour,0.034,
24/07/2025,14:00,PNuit,0,
10/08/2025,14:00,Eau,2237.25,
10/08/2025,14:00,Boiler,3700,
10/08/2025,14:00,Pisc,14532,
10/08/2025,14:00,CJour,107.718,
10/08/2025,14:00,CNuit,121.578,
10/08/2025,14:00,PJour,177.426,
10/08/2025,14:00,PNuit,78.104,
10/08/2025,14:00,Solar,19380,
15/09/2025,20:44,Eau,2244.83,
15/09/2025,20:44,Boiler,3813.3,
15/09/2025,20:44,Pisc,15309,
15/09/2025,20:44,CJour,381.711,
15/09/2025,20:44,CNuit,383.865,
15/09/2025,20:44,PJour,541.613,
15/09/2025,20:44,PNuit,204.353,
15/09/2025,20:44,Solar,21520,
12/10/2025,20:44,Eau,2251.83,
12/10/2025,20:44,Boiler,3899.3,
12/10/2025,20:44,Pisc,15720,
12/10/2025,20:44,CJour,653.386,
12/10/2025,20:44,CNuit,571.683,
12/10/2025,20:44,PJour,604.601,
12/10/2025,20:44,PNuit,227.018,
12/10/2025,20:44,Solar,21956,
12/11/2025,20:44,Eau,2260.83,
12/11/2025,20:44,Boiler,4027.3,
12/11/2025,20:44,Pisc,15720,
12/11/2025,20:44,CJour,793.145,
12/11/2025,20:44,CNuit,773.2,
12/11/2025,20:44,PJour,682,145
12/11/2025,20:44,PNuit,256,504
12/11/2025,20:44,Solar,22267,
11/12/2025,11:00,Eau,2268.83,
11/12/2025,11:00,Boiler,4161.3,
11/12/2025,11:00,Pisc,15721,
11/12/2025,21:00,CJour,1090.44,
11/12/2025,21:00,CNuit,1002.96,
11/12/2025,21:00,PJour,711.84,
11/12/2025,21:00,PNuit,261.52,
11/12/2025,21:00,Solar,22400,
23/01/2026,11:00,Eau,2280,
20/01/2026,11:00,Boiler,4361,
20/01/2026,11:00,Pisc,15723,
20/01/2026,11:00,CJour,1518.6,
20/01/2026,11:00,CNuit,1390,
20/01/2026,11:00,PJour,726.6,
20/01/2026,11:00,PNuit,274.5,
